EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
465,2013-10-01:19:12,Accident-ambulance rolling,405,0,33.707827,-117.954312
460,2013-10-01:19:16,Accident-property damage,405,1,33.671159,-117.828214
19,2013-10-01:19:46,Accident-ambulance rolling,405,1,33.758978,-118.021531
3361,2013-10-01:20:01,Accident-property damage,405,1,34.27909,-118.469813
505,2013-10-01:20:47,Accident-property damage,405,1,33.700754,-117.859243
510,2013-10-01:21:03,Accident-ambulance rolling,405,1,33.651475,-117.761968
540,2013-10-01:21:43,Accident-property damage,405,0,33.677204,-117.844141
3813,2013-10-01:22:33,Hit and Run-no injuries,405,0,34.15067,-118.46824
3824,2013-10-01:22:38,Accident-property damage,405,0,34.172114,-118.46751
3893,2013-10-01:23:15,Hit and Run-no injuries,405,1,33.987383,-118.392542
21,2013-10-02:00:11,Accident-no details,405,0,34.055686,-118.451951
156,2013-10-02:01:36,Accident-no details,405,0,34.201108,-118.473406
156,2013-10-02:01:36,Accident-no details,405,0,34.186639,-118.473991
28,2013-10-02:02:04,Accident-ambulance rolling,405,0,33.686176,-117.87483
480,2013-10-02:05:50,Accident-no details,405,0,34.027542,-118.430128
7,2013-10-02:06:13,Accident-no details,405,1,33.776551,-118.08881
554,2013-10-02:06:33,Accident-no details,405,0,33.825939,-118.241557
20,2013-10-02:06:34,Accident-no details,405,0,33.825939,-118.241557
73,2013-10-02:07:21,Accident-no details,405,1,33.675111,-117.839867
75,2013-10-02:07:27,Accident-property damage,405,1,33.731681,-117.989185
698,2013-10-02:07:34,Accident-no details,405,0,34.024858,-118.428356
728,2013-10-02:07:43,Accident-no details,405,1,34.233558,-118.472957
728,2013-10-02:07:43,Accident-ambulance rolling,405,1,34.25727,-118.472339
736,2013-10-02:07:46,Accident-ambulance rolling,405,1,34.25727,-118.472339
742,2013-10-02:07:47,Accident-no details,405,1,34.233558,-118.472957
49,2013-10-02:07:49,Accident-ambulance rolling,405,0,34.024858,-118.428356
50,2013-10-02:07:50,Accident-ambulance rolling,405,1,34.25727,-118.472339
